,idx,intent,topic,terms,context,instructions,question
15,LAND SURFACE_Exploratory,Exploratory,LAND SURFACE,"['SURFACE RADIATIVE PROPERTIES', 'SOILS', 'FROZEN GROUND']","**TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.
","
### Question Criteria:

INTENT: Exploratory — The user seeks to discover patterns, generate hypotheses, or broadly explore a topic without predefined expectations. Often open-ended and inductive.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
","How do variations in soil composition, surface radiative properties, and the presence of frozen ground influence energy exchange processes at the land surface?"
16,LAND SURFACE_Comparative,Comparative,LAND SURFACE,"['SURFACE RADIATIVE PROPERTIES', 'SOILS', 'FROZEN GROUND']","**TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.
","
### Question Criteria:

INTENT: Comparative — The user intends to compare two or more methods, approaches, datasets, tools, methods, or hypotheses to evaluate differences or effectiveness.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do the surface radiative properties of permafrost regions compare to those of seasonally frozen ground in terms of their influence on soil temperature dynamics?
17,LAND SURFACE_Descriptive,Descriptive,LAND SURFACE,"['SURFACE RADIATIVE PROPERTIES', 'SOILS', 'FROZEN GROUND']","**TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.
","
### Question Criteria:

INTENT: Descriptive — The user wants a concise, factual explanation or summary of a concept, object, or phenomenon—often 'What is X?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
","What are the radiative properties of the land surface that influence the scattering, absorption, and reflection of electromagnetic radiation?"
18,LAND SURFACE_Causal,Causal,LAND SURFACE,"['SURFACE RADIATIVE PROPERTIES', 'SOILS', 'FROZEN GROUND']","**TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.
","
### Question Criteria:

INTENT: Causal — The user asks about causes, effects, or mechanisms—typically beginning with 'Why' or 'How does X influence Y?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How does the reflectivity of frozen ground influence surface radiative properties in permafrost regions?
19,LAND SURFACE_Relational,Relational,LAND SURFACE,"['SURFACE RADIATIVE PROPERTIES', 'SOILS', 'FROZEN GROUND']","**TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.
","
### Question Criteria:

INTENT: Relational — The user inquires about the relationship or correlation between two or more scientific variables or phenomena.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: LAND SURFACE - Refers to the surface area and features on the surface of the Earth.. 

- *sSUBJECT AREA*: SURFACE RADIATIVE PROPERTIES
Any measurement involving the scattering, absorption, or reflection of electromagnetic radiation at the land surface.
- *sSUBJECT AREA*: SOILS
The range of dynamic natural bodies composed of mineral and organic materials and living forms in which plants grow.
- *sSUBJECT AREA*: FROZEN GROUND
Soil within which the moisture has predominantly changed to ice, the unfrozen portion being in vapor phase. Ice within the soil bonds adjacent soil particles and renders frozen ground very hard. Permanently frozen ground is called permafrost. Dry frozen ground is relatively loose and crumbly because of the lack of bonding ice. Frozen ground is sometimes in-advisedly called frost or ground frost.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What is the relationship between surface radiative properties and the rate of thawing in frozen ground?
20,SPECTRAL/ENGINEERING_Exploratory,Exploratory,SPECTRAL/ENGINEERING,"['SENSOR CHARACTERISTICS', 'RADAR', 'LIDAR']","**TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.
","
### Question Criteria:

INTENT: Exploratory — The user seeks to discover patterns, generate hypotheses, or broadly explore a topic without predefined expectations. Often open-ended and inductive.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How can variations in sensor characteristics influence the accuracy and resolution of data acquired through radar and LIDAR technologies in remote sensing applications?
21,SPECTRAL/ENGINEERING_Comparative,Comparative,SPECTRAL/ENGINEERING,"['SENSOR CHARACTERISTICS', 'RADAR', 'LIDAR']","**TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.
","
### Question Criteria:

INTENT: Comparative — The user intends to compare two or more methods, approaches, datasets, tools, methods, or hypotheses to evaluate differences or effectiveness.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do the accuracy and resolution of LIDAR-based measurements compare to radar-based measurements for detecting and mapping surface features?
22,SPECTRAL/ENGINEERING_Descriptive,Descriptive,SPECTRAL/ENGINEERING,"['SENSOR CHARACTERISTICS', 'RADAR', 'LIDAR']","**TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.
","
### Question Criteria:

INTENT: Descriptive — The user wants a concise, factual explanation or summary of a concept, object, or phenomenon—often 'What is X?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What is LIDAR and how does it measure the properties of distant targets?
23,SPECTRAL/ENGINEERING_Causal,Causal,SPECTRAL/ENGINEERING,"['SENSOR CHARACTERISTICS', 'RADAR', 'LIDAR']","**TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.
","
### Question Criteria:

INTENT: Causal — The user asks about causes, effects, or mechanisms—typically beginning with 'Why' or 'How does X influence Y?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How does the wavelength of light influence the accuracy of distance measurements in LIDAR systems?
24,SPECTRAL/ENGINEERING_Relational,Relational,SPECTRAL/ENGINEERING,"['SENSOR CHARACTERISTICS', 'RADAR', 'LIDAR']","**TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.
","
### Question Criteria:

INTENT: Relational — The user inquires about the relationship or correlation between two or more scientific variables or phenomena.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SPECTRAL/ENGINEERING - Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.. 

- *sSUBJECT AREA*: SENSOR CHARACTERISTICS
Properties of the sensor which affect the imagery it acquires.
- *sSUBJECT AREA*: RADAR
An acronym for radio detection and ranging , radar uses radio waves (microwave portion of the spectrum) to detect the presence of objects and determine their range (position).
- *sSUBJECT AREA*: LIDAR
LIDAR (Light Detection and Ranging) is an optical remote sensing technology that measures properties of scattered light to find range and/or other information of a distant target.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What is the relationship between LIDAR sensor characteristics and the accuracy of range measurements in dense forest environments?
25,TERRESTRIAL HYDROSPHERE_Exploratory,Exploratory,TERRESTRIAL HYDROSPHERE,"['WATER QUALITY/WATER CHEMISTRY', 'GLACIERS/ICE SHEETS', 'GROUND WATER']","**TOPIC**: TERRESTRIAL HYDROSPHERE - ""Terrestrial - related to the Earth, A hydrosphere is the total amount of water on a planet. The hydrosphere includes water that is on the surface of the planet, underground, and in the air. A planet's hydrosphere can be liquid, vapor, or ice. On Earth, liquid water exists on the surface in the form of oceans, lakes and rivers. It also exists below ground—as groundwater, in wells and aquifers. Water vapor is most visible as clouds and fog. The frozen part of Earth's hydrosphere is made of ice: glaciers, ice caps and icebergs. The frozen part of the hydrosphere has its own name, the cryosphere. Water moves through the hydrosphere in a cycle. Water collects in clouds, then falls to Earth in the form of rain or snow. This water collects in rivers, lakes and oceans. Then it evaporates into the atmosphere to start the cycle all over again. This is called the water cycle."". 

- *sSUBJECT AREA*: WATER QUALITY/WATER CHEMISTRY
Water quality refers to the physical, chemical, and biological characteristics of water with respect to its suitability for a particular use. Water chemistry refers to the chemical characteristics of water.
- *sSUBJECT AREA*: GLACIERS/ICE SHEETS
Glaciers are masses of land ice, formed by the further recrystallization of firn, flowing continuously from higher to lower elevations. Ice sheets are a continuous sheet of land ice that covers a very large area and moves outward in many directions. This type of ice mass is so thick as to mask the land surface contours, in contrast to the smaller and thinner highland ice. The continental glacier of Greenland is sometimes called the Inland Ice. This term is often used to describe the great ice masses that characterized the ice ages.
- *sSUBJECT AREA*: GROUND WATER
Ground water in its broadest sense includes all subsurface water whether in its liquid, solid or gaseous state, provided it is not chemically combined with the minerals present. In practice, it is all subsurface water that participates in the hydrological cycle.
","
### Question Criteria:

INTENT: Exploratory — The user seeks to discover patterns, generate hypotheses, or broadly explore a topic without predefined expectations. Often open-ended and inductive.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: TERRESTRIAL HYDROSPHERE - ""Terrestrial - related to the Earth, A hydrosphere is the total amount of water on a planet. The hydrosphere includes water that is on the surface of the planet, underground, and in the air. A planet's hydrosphere can be liquid, vapor, or ice. On Earth, liquid water exists on the surface in the form of oceans, lakes and rivers. It also exists below ground—as groundwater, in wells and aquifers. Water vapor is most visible as clouds and fog. The frozen part of Earth's hydrosphere is made of ice: glaciers, ice caps and icebergs. The frozen part of the hydrosphere has its own name, the cryosphere. Water moves through the hydrosphere in a cycle. Water collects in clouds, then falls to Earth in the form of rain or snow. This water collects in rivers, lakes and oceans. Then it evaporates into the atmosphere to start the cycle all over again. This is called the water cycle."". 

- *sSUBJECT AREA*: WATER QUALITY/WATER CHEMISTRY
Water quality refers to the physical, chemical, and biological characteristics of water with respect to its suitability for a particular use. Water chemistry refers to the chemical characteristics of water.
- *sSUBJECT AREA*: GLACIERS/ICE SHEETS
Glaciers are masses of land ice, formed by the further recrystallization of firn, flowing continuously from higher to lower elevations. Ice sheets are a continuous sheet of land ice that covers a very large area and moves outward in many directions. This type of ice mass is so thick as to mask the land surface contours, in contrast to the smaller and thinner highland ice. The continental glacier of Greenland is sometimes called the Inland Ice. This term is often used to describe the great ice masses that characterized the ice ages.
- *sSUBJECT AREA*: GROUND WATER
Ground water in its broadest sense includes all subsurface water whether in its liquid, solid or gaseous state, provided it is not chemically combined with the minerals present. In practice, it is all subsurface water that participates in the hydrological cycle.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do variations in groundwater chemistry influence the quality of surface water systems during seasonal hydrological cycles?
26,TERRESTRIAL HYDROSPHERE_Comparative,Comparative,TERRESTRIAL HYDROSPHERE,"['WATER QUALITY/WATER CHEMISTRY', 'GLACIERS/ICE SHEETS', 'GROUND WATER']","**TOPIC**: TERRESTRIAL HYDROSPHERE - ""Terrestrial - related to the Earth, A hydrosphere is the total amount of water on a planet. The hydrosphere includes water that is on the surface of the planet, underground, and in the air. A planet's hydrosphere can be liquid, vapor, or ice. On Earth, liquid water exists on the surface in the form of oceans, lakes and rivers. It also exists below ground—as groundwater, in wells and aquifers. Water vapor is most visible as clouds and fog. The frozen part of Earth's hydrosphere is made of ice: glaciers, ice caps and icebergs. The frozen part of the hydrosphere has its own name, the cryosphere. Water moves through the hydrosphere in a cycle. Water collects in clouds, then falls to Earth in the form of rain or snow. This water collects in rivers, lakes and oceans. Then it evaporates into the atmosphere to start the cycle all over again. This is called the water cycle."". 

- *sSUBJECT AREA*: WATER QUALITY/WATER CHEMISTRY
Water quality refers to the physical, chemical, and biological characteristics of water with respect to its suitability for a particular use. Water chemistry refers to the chemical characteristics of water.
- *sSUBJECT AREA*: GLACIERS/ICE SHEETS
Glaciers are masses of land ice, formed by the further recrystallization of firn, flowing continuously from higher to lower elevations. Ice sheets are a continuous sheet of land ice that covers a very large area and moves outward in many directions. This type of ice mass is so thick as to mask the land surface contours, in contrast to the smaller and thinner highland ice. The continental glacier of Greenland is sometimes called the Inland Ice. This term is often used to describe the great ice masses that characterized the ice ages.
- *sSUBJECT AREA*: GROUND WATER
Ground water in its broadest sense includes all subsurface water whether in its liquid, solid or gaseous state, provided it is not chemically combined with the minerals present. In practice, it is all subsurface water that participates in the hydrological cycle.
","
### Question Criteria:

INTENT: Comparative — The user intends to compare two or more methods, approaches, datasets, tools, methods, or hypotheses to evaluate differences or effectiveness.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: TERRESTRIAL HYDROSPHERE - ""Terrestrial - related to the Earth, A hydrosphere is the total amount of water on a planet. The hydrosphere includes water that is on the surface of the planet, underground, and in the air. A planet's hydrosphere can be liquid, vapor, or ice. On Earth, liquid water exists on the surface in the form of oceans, lakes and rivers. It also exists below ground—as groundwater, in wells and aquifers. Water vapor is most visible as clouds and fog. The frozen part of Earth's hydrosphere is made of ice: glaciers, ice caps and icebergs. The frozen part of the hydrosphere has its own name, the cryosphere. Water moves through the hydrosphere in a cycle. Water collects in clouds, then falls to Earth in the form of rain or snow. This water collects in rivers, lakes and oceans. Then it evaporates into the atmosphere to start the cycle all over again. This is called the water cycle."". 

- *sSUBJECT AREA*: WATER QUALITY/WATER CHEMISTRY
Water quality refers to the physical, chemical, and biological characteristics of water with respect to its suitability for a particular use. Water chemistry refers to the chemical characteristics of water.
- *sSUBJECT AREA*: GLACIERS/ICE SHEETS
Glaciers are masses of land ice, formed by the further recrystallization of firn, flowing continuously from higher to lower elevations. Ice sheets are a continuous sheet of land ice that covers a very large area and moves outward in many directions. This type of ice mass is so thick as to mask the land surface contours, in contrast to the smaller and thinner highland ice. The continental glacier of Greenland is sometimes called the Inland Ice. This term is often used to describe the great ice masses that characterized the ice ages.
- *sSUBJECT AREA*: GROUND WATER
Ground water in its broadest sense includes all subsurface water whether in its liquid, solid or gaseous state, provided it is not chemically combined with the minerals present. In practice, it is all subsurface water that participates in the hydrological cycle.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do the chemical characteristics of groundwater compare to those of surface water in regions influenced by glacial melt?
